#  l    m   clm               slm
  23    1  -1.8935202159e-13 -1.6255673231e-13
  23    2  -2.7393050681e-13 -2.3081063952e-13
  23    3   9.1102738824e-14 -1.7227171266e-13
  23    4  -4.6826249392e-14 -2.3684507569e-13
  23    5   2.7220191638e-13 -2.7764568966e-13
  23    6  -1.9022171449e-13 -2.0561117685e-13
  23    7  -2.1108813933e-13 -1.3706798338e-13
  23    8  -1.6978319052e-13 -6.5752602431e-14
  23    9  -2.2779020502e-13  1.8719488651e-13
  23   10   1.7455890546e-13 -6.5069191606e-14
  23   11   1.1213848244e-13 -2.1786215169e-13
  23   12  -1.6812509477e-13 -2.2167917260e-13
  23   13  -1.8359283728e-13  6.6443276189e-14
  23   14   4.7759717977e-14  8.8821567231e-14
  23   15   1.1768770565e-13 -4.7374443942e-14
  23   16  -4.4775838936e-14 -4.3738522142e-14
  23   17   1.0342566261e-14 -7.5325016469e-15
  23   18   1.9911920207e-14 -1.0197636419e-14
  23   19   4.8047609698e-15  6.3863279642e-15
  23   20   1.0021793852e-14 -4.8425335545e-15
  23   21   1.3788616945e-14  1.4696898084e-14
  23   22  -2.2601986616e-14 -1.2192116935e-14
  23   23  -9.4518056803e-15  3.2259142340e-14
  24    0  -6.0725871900e-13 -0.0000000000e+00
  24    1  -1.0746992944e-13 -1.8424903641e-13
  24    2  -5.6568121463e-14 -1.2936849518e-13
  24    3   6.5671664159e-14  3.8150623715e-13
  24    4  -7.0717970477e-15 -1.1957684969e-13
  24    5  -7.8363410458e-14 -2.8818555532e-13
  24    6   3.9460400069e-14 -5.2766476693e-13
  24    7  -2.3790447643e-13 -7.3828416970e-14
  24    8  -2.9013696695e-13 -3.5046237493e-14
  24    9  -6.3975512458e-14  5.1595373341e-15
  24   10   1.3198981372e-13 -6.6962478843e-14
  24   11   3.3810248616e-14 -3.2134925311e-13
  24   12  -1.8603172956e-13 -2.0884185022e-13
  24   13  -1.6367728304e-13  6.5479429707e-14
  24   14   6.0397315779e-14  1.2224645706e-13
  24   15   7.7997993590e-14 -8.9687342357e-14
  24   16  -4.6743925405e-14 -9.8554173236e-14
  24   17  -2.7967843560e-14  2.3708687931e-14
  24   18   2.8623554560e-14  3.0681096770e-14
  24   19   5.4688774836e-15 -2.4480906748e-14
  24   20  -3.4114989318e-14  5.9429812422e-15
  24   21  -3.7181399599e-15  2.4867272739e-14
  24   22   2.1584590042e-14 -1.2450395517e-14
  24   23  -2.0690034429e-14 -2.7227899258e-14
  24   24   8.1230803252e-15  5.9441275808e-15
  25    0  -8.0341179607e-15 -0.0000000000e+00
  25    1  -2.1291758294e-13  1.7658415054e-13
  25    2  -2.2048011881e-13 -3.7367129171e-13
  25    3  -1.3954352504e-13 -1.0520742286e-13
  25    4   3.6238514672e-14 -2.0604970591e-13
  25    5   9.5381772603e-14 -1.8414910988e-13
  25    6  -6.2322247407e-14 -1.4281877453e-13
  25    7  -1.7503072824e-13 -2.5390765727e-13
  25    8  -5.4734457669e-14 -3.3865341327e-14
  25    9  -1.7515367681e-13  8.7569993981e-14
  25   10   1.7181742692e-13 -2.0395022156e-13
  25   11  -2.0281153244e-14 -3.4540222677e-13
  25   12  -2.4690181431e-13 -1.7189528488e-13
  25   13  -1.5048703925e-13  4.9694559731e-14
  25   14   3.7052388034e-14  9.8551993930e-14
  25   15   1.0906629309e-13 -9.7409974869e-14
  25   16  -6.1456407177e-14 -6.2323625691e-14
  25   17  -6.1750223836e-14  2.5102612188e-14
  25   18   5.5227321080e-14  3.7584743959e-14
  25   19   2.0880157642e-14 -1.6231653582e-16
  25   20  -3.3216561141e-14 -1.4441964548e-14
  25   21   1.3407366524e-14 -4.6145567347e-15
  25   22  -1.6595367679e-14  6.4290772219e-15
  25   23   6.2763955502e-15  5.4057865796e-15
  25   24   8.2965187497e-15  1.4629952848e-15
  25   25   2.7811465975e-14  1.1233208244e-14
  26    0  -3.5892228055e-13 -0.0000000000e+00
  26    1  -1.9343088722e-13 -1.6806120528e-14
  26    2  -2.5385872790e-16 -2.1104828566e-13
  26    3  -4.2577814908e-14  3.7447614903e-13
  26    4  -4.9416409490e-14 -7.7816482896e-14
  26    5  -1.8466902356e-13 -2.0921132371e-13
  26    6   8.3394723657e-15 -3.4506204438e-13
  26    7  -1.4584235705e-13 -1.4115680180e-13
  26    8  -2.2734730836e-13  2.6294718670e-14
  26    9  -5.0126079709e-15 -8.3562684253e-14
